ïΩê¨ÇQÇUîN,é–âÔà„ó√êfó√çsà◊ï í≤ç∏,ïΩê¨ÇQÇUîNÇUåéêRç∏ï™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ëÊÅ@ÇPï\,à„â»êfó√ÅiëçêîÅjÅ@åèêîÅEêfó√é¿ì˙êîÅEâÒêîÅEì_êîÅCèùïaï™óﬁÅAàÍî à„ó√Å|å„ä˙à„ó√ÅEîNóÓäKãâÅAêfó√çsà◊ÅiëÂï™óﬁÅjï ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇPÅjÅuåèêîÅvÇÕÅAñæç◊èëÇÃêîÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇQÅjÅuâÒêîÅvÇÕÅAìñäYêfó√çsà◊Ç™é¿é{Ç≥ÇÍÇΩâÑÇ◊éZíËâÒêîÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇRÅjëçêîÇ…ÇÕÅAÅuó√ó{íSìñéËìñìôÅvÅAÅuçáéZñÚç‹óøÅvÅAÅuï‚ê≥ì_êîÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇSÅjëçêîÇ…ÇÕÅAì¸â@éûêHéñó√ó{ìôÇä‹Ç‹Ç»Ç¢ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇTÅjëçêîÇ…ÇÕÅAÅuá]á]Å@èùïaãyÇ—éÄñSÇÃäOàˆÅvÅAÅuá]á]áTÅ@åíçNèÛë‘Ç…âeãøÇãyÇ⁄Ç∑óvàˆãyÇ—ï€åíÉTÅ[ÉrÉXÇÃóòópÅvÅAÅuá]á]áUÅ@ì¡éÍñ⁄ìIópÉRÅ[ÉhÅvÅAÅuïsè⁄ÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,åèêî,êfó√é¿ì˙êî,ëçêî,,èâ   ÅE  çƒ êf,,à„ äw ä« óù ìô,,ç›Å@ëÓÅ@à„Å@ó√,,åüÅ@Å@Å@Å@Å@ç∏,,âÊÅ@ëúÅ@êfÅ@íf,,ìäÅ@Å@Å@Å@Å@ñÚ,,íçÅ@Å@Å@Å@Å@éÀ,,ÉäÉnÉrÉäÉeÅ[ÉVÉáÉì,,ê∏ê_â»êÍñÂó√ñ@,,èàÅ@Å@Å@Å@Å@íu,,éËÅ@Å@Å@Å@Å@èp,,ñÉÅ@Å@Å@Å@Å@êå,,ï˙ éÀ ê¸ é° ó√,,ïa  óù  êf  íf,,ì¸  â@  óø  ìô,,êfífåQï™óﬁÇ…ÇÊÇÈïÔäáï]âøìô,,ì¸â@éûêHéñó√ó{ìô(ï åfÅFâ~),
,,,,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ì_êî,âÒêî,ã‡äz
ëçêî,ëçêî,81236968,162975659,1573436709,213802346180,124239702,16772448431,55799914,10156077820,3640210,6831161331,191070826,20348161532,25263744,8873612487,1023357901,19844697576,18479623,11044756149,33819715,7110528447,7673112,2559733102,49343196,12617677976,1593820,20461968629,2441371,2799431656,394856,808660739,2446540,944319838,24861996,40679538064,8995570,31916234498,92169304,58683272690
,àÍî à„ó√,60282149,105378535,970041149,125989718794,87571481,12839005770,37627087,6836676417,1265576,3244200389,126365163,13990727670,16711587,5864674380,620079561,12892149539,8515808,6918875766,13845964,2958987385,6064710,2044347484,32568888,7052830587,1067365,12988465197,1191503,1918645388,292851,593233882,1961274,738170765,10013752,16808227708,4887327,18277092184,38783872,25548346464
,å„ä˙à„ó√,20954819,57597124,603395560,87812627386,36668221,3933442661,18172827,3319401403,2374634,3586960942,64705663,6357433862,8552157,3008938107,403278340,6952548037,9963815,4125880383,19973751,4151541062,1608402,515385618,16774308,5564847389,526455,7473503432,1249868,880786268,102005,215426857,485266,206149073,14848244,23871310356,4108243,13639142314,53385432,33134926226
,00Å`04çŒ,4825122,8374922,28434655,7061565937,5567525,1361756620,4082766,1465225290,13227,69786475,3196281,429528868,344801,65748109,10789879,389808490,122357,64174668,260100,60844381,8643,5102300,3467413,190299941,68265,342773314,11979,72689341,1266,815489,2476,1324401,145082,630142115,349146,1910977751,908960,585696424
,05Å`09çŒ,3346287,4840421,24699447,3029084406,4737941,964900569,1123946,129519072,14473,121794813,4299239,434840250,514361,93369194,10095640,347160705,83450,43004863,304894,68235696,32154,16103770,3328043,181934342,35764,107953397,7538,35341494,434,735575,2483,1244910,56672,173429978,62085,308926767,241577,158064894
,10Å`14çŒ,2485191,3488594,19215356,2581042600,3364259,649703929,717301,66790578,16533,220760441,3883714,360363394,991633,184638329,7941018,248295601,78916,61511224,255737,52630618,56983,27906735,1737843,132563391,31208,112000754,6978,29887312,580,1068698,3540,1838720,81323,203836128,47627,226754898,280812,183395594
,15Å`19çŒ,1718101,2421060,14162055,2067608190,2246607,419300823,517066,45484241,11560,106581655,2408334,266715162,671998,157894479,6834478,187843246,95763,79006421,262567,54424437,105475,50315023,788303,73554214,25347,164417023,10955,37948516,549,915010,15412,5352465,105745,202732175,61746,214599170,388261,253709798
,20Å`24çŒ,1736183,2480687,16304447,2271145689,2205144,407795737,573019,50846464,12722,60265098,2741611,327881372,402205,113106488,8777463,228423331,141720,106819083,165863,35232852,214117,76353665,735030,64898812,25889,184518420,14721,40664614,796,1567348,58796,15649065,156120,281062195,78913,275851188,571577,371997042
,25Å`29çŒ,2253418,3432427,23350681,3287542463,2916916,510860849,793445,75880862,19482,77401799,3753254,479398433,485239,141436840,13058029,328934065,234503,167980597,176352,37416557,349912,125378188,1005499,92436972,37998,294309974,27115,55927848,1730,3432274,104798,28202861,259547,443991785,126440,424044978,962369,620862256
,30Å`34çŒ,2740353,4364826,30738146,4364552513,3660062,612567866,1022328,108730863,29865,95071264,4818133,623640515,632892,189464416,17468341,430343617,322812,222169603,225186,47876997,444040,157348096,1347674,137033422,50959,430497693,42818,77038882,3714,7039520,136884,39407308,358586,606377540,173462,579030955,1345952,871058898
,35Å`39çŒ,3236653,5232695,40181589,5508063268,4473736,710060896,1317950,162594144,49869,137767856,5938952,744427566,830936,265468646,23712870,571399578,376058,313634425,333869,70666204,568072,200533903,1645599,224818606,58949,525520070,57332,97347080,7188,13625728,164464,51816180,448678,744173993,196540,672927703,1647434,1078890686
,40Å`44çŒ,3630475,5990100,51261442,6775857172,5165823,767904639,1706227,244540627,75477,193202859,7089016,849558543,1028587,354704358,31734058,730272208,431087,424481324,511661,109231024,683193,238210364,1709647,367394204,62659,614098608,68209,116431948,16322,29784709,194077,64943883,569616,904525049,215340,764740177,2030152,1344402738
,45Å`49çŒ,3633841,6198726,58518744,7476243507,5285997,737365710,2002216,317536209,90508,206922601,7582338,877682339,1069796,390536210,37802072,812688070,498148,477148037,692441,148271231,644322,220735951,1594476,481220571,61197,706394376,76165,125019992,23019,40810406,202257,68026425,658988,1014683265,234374,849316587,2334053,1552162174
