平成２７年　社会医療診療行為別統計　平成２７年６月審査分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第７表　医科診療　件数・診療実日数・実施件数・回数・点数，入院－入院外、傷病（中分類）、診療行為（大分類）別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：１）「件数」は、明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：２）「実施件数」は、当該診療行為が実施された明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：４）総数には、「療養担当手当等」、「合算薬剤料」、「補正点数」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：５）総数には、入院時食事療養等を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：６）総数には、「ⅩⅩ　傷病及び死亡の外因」、「ⅩⅩⅠ　健康状態に影響を及ぼす要因及び保健サービスの利用」、「ⅩⅩⅡ　特殊目的用コード」、「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,件数,診療実日数,総数,,,初   ・  再 診,,,医 学 管 理 等,,,在　宅　医　療,,,検　　　　　査,,,画　像　診　断,,,投　　　　　薬,,,注　　　　　射,,,リハビリテーション,,,精神科専門療法,,,処　　　　　置,,,手　　　　　術,,,麻　　　　　酔,,,放 射 線 治 療,,,病  理  診  断,,,入  院  料  等,,,診断群分類による包括評価等,,,入院時食事療養等(別掲),,
,,,,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,金額(円)
総数,総数,81741701 ,160279218 ,81741701 ,1510398214 ,213791530035 ,77044435 ,121787586 ,16579600624 ,38282373 ,54484388 ,9940104807 ,2234203 ,3738612 ,7134414859 ,31069109 ,189769306 ,20227703685 ,9367628 ,24822639 ,8701628857 ,65516819 ,969250528 ,19470857329 ,6198846 ,17391444 ,11163583185 ,2103131 ,33231148 ,7028403936 ,3271292 ,7495904 ,2513534847 ,12817772 ,47897894 ,12540609549 ,1185395 ,1541177 ,19828621004 ,1214853 ,2286029 ,2639487835 ,45882 ,367143 ,784617727 ,1147417 ,2356980 ,910137441 ,2050905 ,24947084 ,41801713664 ,897577 ,9011753 ,32480470912 ,2018123 ,92350184 ,58753454690 
,Ⅰ　感染症及び寄生虫症,3205986 ,5521794 ,3205986 ,37873034 ,5881448641 ,2982137 ,4553643 ,838852417 ,1167321 ,1678292 ,310895229 ,39340 ,74458 ,161115952 ,1163634 ,6876017 ,790205897 ,181885 ,488434 ,184727928 ,2475603 ,20730118 ,772904838 ,266773 ,688714 ,321258681 ,19848 ,386685 ,81171316 ,10769 ,24574 ,7984682 ,718132 ,1554269 ,333694763 ,16575 ,25949 ,140768415 ,11977 ,26770 ,22752429 ,589 ,3171 ,5092522 ,31606 ,66016 ,26686943 ,50722 ,447883 ,824017819 ,26564 ,247395 ,1057900914 ,48081 ,1679775 ,1086197468 
,　　腸管感染症,964309 ,1449262 ,964309 ,9775051 ,1316316524 ,860499 ,1159719 ,300402286 ,446223 ,662268 ,140502185 ,5846 ,11321 ,20388633 ,248809 ,1568280 ,165689651 ,60564 ,154804 ,51081776 ,824751 ,5638971 ,124476143 ,158021 ,233191 ,59842423 ,2926 ,57286 ,11929165 ,4328 ,6959 ,2416160 ,47732 ,119792 ,30585726 ,1930 ,2566 ,15767260 ,1400 ,2819 ,1678577 ,83 ,775 ,1651488 ,4785 ,11107 ,6249114 ,17988 ,87728 ,176887192 ,11135 ,57387 ,206683309 ,16746 ,300497 ,194956726 
,　　結　　　核,27127 ,96389 ,27127 ,1051266 ,196060317 ,23657 ,38417 ,4590928 ,11252 ,18513 ,3725891 ,1141 ,2150 ,5187596 ,18081 ,231623 ,25929581 ,16670 ,48738 ,13563912 ,17714 ,571256 ,10296268 ,3058 ,22249 ,15243274 ,943 ,19672 ,3924946 ,194 ,1107 ,231150 ,2502 ,36098 ,7988239 ,200 ,371 ,2709889 ,120 ,213 ,440071 ,9 ,29 ,97770 ,1442 ,3372 ,1045796 ,2814 ,55980 ,96550232 ,95 ,1358 ,4448702 ,2663 ,157170 ,103085590 
,　　主として性的伝播様式をとる感染症,56374 ,92958 ,56374 ,602118 ,79288222 ,53419 ,83502 ,14121267 ,15429 ,18786 ,1201746 ,227 ,407 ,1062702 ,36246 ,192539 ,24425934 ,1749 ,4969 ,2728270 ,37946 ,256702 ,11926939 ,3081 ,5426 ,2963852 ,113 ,2114 ,460204 ,305 ,1154 ,377085 ,12928 ,19617 ,4092558 ,1129 ,1178 ,2250285 ,231 ,268 ,328379 ,4 ,41 ,69410 ,4430 ,9142 ,2085834 ,527 ,5342 ,8195246 ,169 ,928 ,2998152 ,493 ,16567 ,10730326 
,　　皮膚及び粘膜の病変を伴うウイルス疾患,803211 ,1371174 ,803211 ,6030001 ,778105093 ,768306 ,1275348 ,205787416 ,187978 ,259672 ,48686489 ,3289 ,5719 ,12079624 ,82099 ,457549 ,44922260 ,10715 ,27398 ,10448979 ,468587 ,3038702 ,105418289 ,18029 ,55186 ,34745736 ,2077 ,32353 ,7091184 ,1154 ,2350 ,894019 ,433869 ,797607 ,157603354 ,3140 ,2931 ,8601747 ,5515 ,14063 ,7186947 ,49 ,399 ,740000 ,3228 ,6503 ,2334597 ,4519 ,33516 ,62255787 ,2687 ,20657 ,69221057 ,4685 ,144230 ,92878020 
,　　ウイルス肝炎,231892 ,510014 ,231892 ,6326923 ,828635118 ,222950 ,466788 ,49583462 ,125768 ,195138 ,36449340 ,6612 ,11338 ,39920459 ,159679 ,1687415 ,213427313 ,29114 ,78890 ,49993263 ,162322 ,3568542 ,215189433 ,41065 ,207557 ,86119469 ,1421 ,21189 ,4230691 ,1293 ,2294 ,773725 ,7105 ,34226 ,24821574 ,1524 ,2191 ,11300236 ,1034 ,2128 ,863747 ,77 ,385 ,883280 ,3421 ,7239 ,3955967 ,3164 ,31258 ,55276560 ,1086 ,10250 ,35759244 ,3172 ,112565 ,73807772 
,　　その他のウイルス疾患,87400 ,175359 ,87400 ,1284433 ,297677661 ,76752 ,128676 ,26657482 ,37745 ,60710 ,16309327 ,728 ,1491 ,8880073 ,63847 ,389678 ,43558622 ,5728 ,15296 ,5052403 ,65028 ,606585 ,101445286 ,4159 ,10626 ,10445849 ,892 ,14476 ,3344418 ,248 ,402 ,115555 ,7424 ,26593 ,3492877 ,392 ,760 ,3433584 ,87 ,124 ,123563 ,18 ,36 ,5718 ,404 ,854 ,443102 ,2259 ,19028 ,40019955 ,1118 ,9094 ,34325070 ,2189 ,70262 ,45026868 
,　　真　菌　症,726210 ,1116131 ,726210 ,7927455 ,925488006 ,695435 ,961263 ,153970908 ,227473 ,287929 ,29430155 ,16847 ,34051 ,50692355 ,332902 ,1177888 ,124494324 ,16537 ,47526 ,15785993 ,669474 ,4733083 ,145467292 ,18101 ,68316 ,52874171 ,4652 ,94111 ,19357722 ,2437 ,8051 ,2601518 ,179802 ,378356 ,62966091 ,3075 ,4013 ,19356956 ,2459 ,4944 ,2906707 ,74 ,585 ,889122 ,6700 ,13657 ,3495039 ,4998 ,92817 ,148559721 ,1279 ,20763 ,92040751 ,4838 ,303734 ,192506060 
