平成２８年　社会医療診療行為別統計　平成２８年６月審査分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第　７表　医科診療　件数・診療実日数・実施件数・回数・点数，入院－入院外、傷病（中分類）、診療行為（大分類）別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：１）「件数」は、明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：２）「実施件数」は、当該診療行為が実施された明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：４）総数には、「療養担当手当等」、「合算薬剤料」、「補正点数」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：５）総数には、入院時食事療養等を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：６）総数には、「ⅩⅩ　傷病及び死亡の外因」、「ⅩⅩⅠ　健康状態に影響を及ぼす要因及び保健サービスの利用」、「ⅩⅩⅡ　特殊目的用コード」、「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,件数,診療実日数,総数,,,初   ・  再 診,,,医 学 管 理 等,,,在　宅　医　療,,,検　　　　　査,,,画　像　診　断,,,投　　　　　薬,,,注　　　　　射,,,リハビリテーション,,,精神科専門療法,,,処　　　　　置,,,手　　　　　術,,,麻　　　　　酔,,,放 射 線 治 療,,,病  理  診  断,,,入  院  料  等,,,診断群分類による包括評価等,,,入院時食事療養等(別掲),,
,,,,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,金額(円)
総数,総数,82911306 ,160281227 ,82911306 ,1477850590 ,218436800911 ,78154234 ,121726167 ,16552127064 ,38738825 ,54616478 ,10197014467 ,2340914 ,4015356 ,7278494991 ,31564115 ,192983927 ,20795229556 ,9616627 ,25319463 ,8934114524 ,66156745 ,933447444 ,19172860298 ,6011395 ,16006261 ,11635879226 ,2195815 ,34955737 ,7434474601 ,3359603 ,7704911 ,2579859893 ,12730124 ,46697958 ,12522298562 ,1203716 ,1573730 ,21171668348 ,1208492 ,2225296 ,2766852192 ,47015 ,396181 ,850276614 ,1172322 ,2403752 ,955785828 ,2069324 ,24077515 ,41100655098 ,947830 ,9682738 ,34480639229 ,2033894 ,91999448 ,57687692286 
,Ⅰ　感染症及び寄生虫症,3136055 ,5380566 ,3136055 ,36623958 ,6286143532 ,2927128 ,4434770 ,801279384 ,1116202 ,1598377 ,299650529 ,40538 ,77604 ,168520197 ,1162779 ,7076586 ,816444233 ,186504 ,495975 ,190509696 ,2405810 ,19567056 ,1192766249 ,234426 ,553834 ,295499115 ,20247 ,407884 ,85510674 ,10961 ,25244 ,8408885 ,738436 ,1576976 ,344765742 ,17073 ,26263 ,140955242 ,11960 ,26530 ,23147032 ,556 ,3320 ,5660934 ,32464 ,67766 ,27922444 ,50605 ,421548 ,795887241 ,28086 ,263642 ,1088878009 ,47995 ,1666390 ,1055741691 
,　　腸管感染症,894914 ,1369029 ,894914 ,9072589 ,1287875876 ,794033 ,1078429 ,274767837 ,415900 ,623616 ,140725830 ,5842 ,11121 ,20885449 ,238543 ,1527622 ,162861502 ,59523 ,150455 ,50496063 ,756906 ,5134508 ,113943207 ,141013 ,206166 ,59839743 ,3009 ,56419 ,11700988 ,4511 ,7287 ,2556281 ,43900 ,115236 ,30490828 ,1969 ,2602 ,15030868 ,1324 ,2675 ,1669519 ,87 ,783 ,1650172 ,4878 ,11129 ,6367390 ,18091 ,77982 ,160529016 ,12206 ,66468 ,234360426 ,16949 ,296555 ,190921847 
,　　結　　　核,27573 ,94537 ,27573 ,1011864 ,197364199 ,24228 ,39529 ,4787264 ,11453 ,18492 ,3821157 ,1181 ,2181 ,7265337 ,18266 ,237735 ,27081889 ,17116 ,50353 ,14169299 ,17730 ,528717 ,10135941 ,2909 ,21057 ,16623808 ,998 ,20624 ,4099691 ,182 ,853 ,185230 ,2500 ,33735 ,7905741 ,205 ,348 ,1996237 ,103 ,202 ,462724 ,13 ,71 ,118710 ,1509 ,3511 ,1116755 ,2656 ,52931 ,92721034 ,96 ,1404 ,4625880 ,2480 ,148344 ,95152979 
,　　主として性的伝播様式をとる感染症,59343 ,97229 ,59343 ,628586 ,83009552 ,56331 ,88557 ,14913455 ,15762 ,19244 ,1381963 ,235 ,419 ,1085910 ,38220 ,206144 ,26049279 ,1994 ,5499 ,3162230 ,40253 ,265178 ,11926043 ,2994 ,4797 ,2800311 ,95 ,1629 ,341384 ,329 ,1233 ,432145 ,12953 ,19541 ,5164333 ,1215 ,1266 ,2943777 ,246 ,301 ,331922 ,2 ,7 ,20510 ,4492 ,9210 ,2164701 ,500 ,4388 ,6626703 ,204 ,1166 ,3664837 ,463 ,14941 ,9604682 
,　　皮膚及び粘膜の病変を伴うウイルス疾患,801692 ,1380277 ,801692 ,6116185 ,770368488 ,779971 ,1306980 ,202766562 ,171913 ,231721 ,35211418 ,3499 ,6141 ,12205981 ,83689 ,463760 ,45753876 ,11038 ,28166 ,10894449 ,479848 ,3069137 ,104928248 ,17566 ,51886 ,33933737 ,2255 ,36134 ,7938503 ,1187 ,2161 ,735430 ,458111 ,842038 ,165717996 ,3266 ,3255 ,9405957 ,5776 ,14765 ,7557939 ,55 ,588 ,1132870 ,3650 ,7408 ,2699100 ,4382 ,30891 ,60011843 ,2701 ,21124 ,69474342 ,4520 ,139252 ,88552652 
,　　ウイルス肝炎,231789 ,441849 ,231789 ,5855059 ,1247418250 ,222493 ,399803 ,42334397 ,121414 ,180598 ,34466581 ,6530 ,11676 ,40073114 ,165599 ,1778174 ,232736131 ,30115 ,81008 ,52334293 ,152358 ,3171123 ,645033004 ,27832 ,125734 ,60407711 ,1352 ,21236 ,4267118 ,1214 ,2344 ,935130 ,6254 ,30757 ,26475396 ,1644 ,2350 ,11892437 ,899 ,1676 ,764274 ,87 ,692 ,1255182 ,3636 ,7766 ,4456072 ,3149 ,29612 ,55193838 ,1008 ,10439 ,34792993 ,3131 ,108871 ,70778540 
,　　その他のウイルス疾患,107070 ,210733 ,107070 ,1547655 ,333475315 ,94863 ,159375 ,33290820 ,45050 ,73567 ,19660906 ,890 ,1729 ,12240488 ,71813 ,453052 ,48885966 ,6355 ,16252 ,5365142 ,79370 ,756313 ,112236537 ,4347 ,10063 ,9846671 ,919 ,17410 ,4032703 ,283 ,518 ,186210 ,8124 ,28922 ,3150621 ,417 ,767 ,3538160 ,87 ,124 ,115635 ,11 ,51 ,47910 ,459 ,925 ,474279 ,2370 ,17808 ,39324512 ,1299 ,10763 ,41078625 ,2326 ,71175 ,44295493 
,　　真　菌　症,714261 ,1093048 ,714261 ,7589714 ,922557204 ,682656 ,935955 ,148527672 ,222315 ,279502 ,29321710 ,17242 ,35565 ,51141250 ,330762 ,1158894 ,125035948 ,17130 ,49465 ,16696418 ,656257 ,4451670 ,138898894 ,17458 ,59968 ,54919936 ,4554 ,99337 ,20465931 ,2444 ,8939 ,2883144 ,178664 ,373116 ,64917401 ,3118 ,4009 ,20251088 ,2464 ,4857 ,3310217 ,53 ,315 ,522070 ,6989 ,14273 ,3750739 ,5044 ,92774 ,152037264 ,1329 ,21011 ,89790632 ,4884 ,306996 ,189724383 
,　　感染症及び寄生虫症の続発・後遺症,7343 ,21833 ,7343 ,185702 ,38359178 ,6278 ,9254 ,1073482 ,3146 ,4499 ,847288 ,966 ,2147 ,6796828 ,2879 ,24590 ,2719654 ,2687 ,6988 ,2318160 ,4844 ,111959 ,1715540 ,482 ,1622 ,1881842 ,390 ,5783 ,1160836 ,88 ,317 ,68380 ,436 ,7193 ,1669306 ,30 ,45 ,158795 ,28 ,36 ,63513 ,1 ,1 ,110 ,79 ,174 ,63278 ,408 ,11091 ,17822145 ,-,-,-,390 ,33800 ,19876748 
,　　その他の感染症及び寄生虫症,292070 ,672031 ,292070 ,4616604 ,1405715470 ,266275 ,416888 ,78817895 ,109249 ,167138 ,34213676 ,4153 ,6625 ,16825840 ,213008 ,1226615 ,145319988 ,40546 ,107789 ,35073642 ,218244 ,2078451 ,53948835 ,19825 ,72541 ,55245356 ,6675 ,149312 ,31503520 ,723 ,1592 ,426935 ,27494 ,126438 ,39274120 ,5209 ,11621 ,75737923 ,1033 ,1894 ,8871289 ,247 ,812 ,913400 ,6772 ,13370 ,6830130 ,14005 ,104071 ,211620886 ,9243 ,131267 ,611090274 ,12852 ,546456 ,346834367 
,Ⅱ　新生物,3167148 ,7832071 ,3167148 ,63073476 ,28708922515 ,2810650 ,4296839 ,479459662 ,1569277 ,2367376 ,633784963 ,76092 ,176547 ,347951464 ,2023001 ,13429382 ,1955365076 ,909853 ,2344376 ,1873292563 ,1604387 ,32552470 ,1362161100 ,392800 ,1106859 ,3674472838 ,60980 ,1049834 ,230353792 ,12304 ,21625 ,6415682 ,219528 ,675401 ,275604168 ,172145 ,282051 ,4425838704 ,74562 ,175283 ,776587304 ,34920 ,329261 ,727787181 ,416768 ,846795 ,366284433 ,262202 ,1067914 ,2682957586 ,217774 ,2349457 ,8890473003 ,274644 ,7914930 ,5196439171 
,　　胃の悪性新生物,252874 ,661795 ,252874 ,5786464 ,2251399055 ,217738 ,354698 ,37576696 ,147439 ,229033 ,59151674 ,6429 ,17396 ,32309569 ,174172 ,1200206 ,225535750 ,56513 ,157034 ,113327732 ,145796 ,3161948 ,73902484 ,29744 ,98863 ,178973585 ,5109 ,82183 ,17174714 ,803 ,1450 ,413685 ,9369 ,48854 ,19640694 ,12689 ,22886 ,445942186 ,5611 ,17525 ,68542627 ,521 ,2675 ,4548428 ,45886 ,90325 ,56292471 ,22840 ,100704 ,227597279 ,19164 ,200619 ,690393574 ,23121 ,608948 ,405663799 
,　　結腸の悪性新生物,261225 ,651851 ,261225 ,5751383 ,2349716275 ,232053 ,370807 ,41679055 ,151584 ,233536 ,60816304 ,7544 ,17883 ,29932864 ,182049 ,1240998 ,210120813 ,64803 ,177330 ,133704038 ,137295 ,3097319 ,81182269 ,28648 ,94328 ,282741752 ,5300 ,90235 ,18648339 ,913 ,1801 ,589855 ,12707 ,53559 ,25663112 ,15102 ,21806 ,434231204 ,6651 ,20522 ,80784090 ,387 ,2209 ,4983786 ,24538 ,50581 ,31852980 ,22736 ,107103 ,248052099 ,16303 ,171183 ,664731966 ,22354 ,567744 ,372184239 
,　　直腸Ｓ状結腸移行部及び直腸の悪性新生物,79713 ,273423 ,79713 ,2188977 ,1336269025 ,64863 ,106640 ,10029775 ,56954 ,92528 ,26679397 ,2836 ,7070 ,12187937 ,50987 ,390633 ,52949512 ,25462 ,72241 ,60185292 ,47424 ,1196293 ,40232618 ,13310 ,47448 ,188950177 ,2650 ,44540 ,9270198 ,303 ,578 ,153615 ,8169 ,24829 ,7271284 ,6307 ,10104 ,302757236 ,3970 ,12837 ,56094318 ,754 ,6572 ,13488810 ,6959 ,12437 ,7805985 ,12119 ,51239 ,118181732 ,10166 ,112891 ,430030187 ,12430 ,344683 ,228917286 
,　　肝及び肝内胆管の悪性新生物,81764 ,269965 ,81764 ,2446839 ,1045228401 ,66787 ,115165 ,11423763 ,52028 ,82043 ,23287172 ,3644 ,8799 ,15990010 ,57991 ,557477 ,69840526 ,29595 ,65100 ,71933407 ,47357 ,1352515 ,83003537 ,8834 ,39487 ,19881764 ,1938 ,31558 ,6612065 ,343 ,693 ,187915 ,3223 ,18711 ,11425535 ,7212 ,10305 ,243592681 ,1463 ,3957 ,16763332 ,473 ,3004 ,9650468 ,2681 ,4117 ,2307809 ,12318 ,46743 ,103250641 ,10928 ,107129 ,356077431 ,13114 ,379870 ,257856684 
,　　気管，気管支及び肺の悪性新生物,203265 ,678865 ,203265 ,5058225 ,3150447991 ,167202 ,268463 ,29806501 ,124439 ,193047 ,56540783 ,8352 ,21812 ,56072213 ,112006 ,977099 ,129988406 ,141293 ,386382 ,258629021 ,101791 ,2468175 ,115378864 ,30726 ,99850 ,645418369 ,6814 ,95938 ,20477546 ,853 ,1593 ,456000 ,8545 ,59479 ,18478864 ,4515 ,7312 ,280275776 ,3279 ,9999 ,59648673 ,3809 ,34269 ,73806146 ,14797 ,31199 ,18504717 ,28844 ,136957 ,322229271 ,24578 ,266415 ,1064734567 ,30930 ,1001141 ,653404326 
,　　乳房の悪性新生物,265940 ,550989 ,265940 ,4845665 ,1992501665 ,244515 ,379322 ,37091481 ,162125 ,257691 ,72740427 ,3369 ,9729 ,17243677 ,154506 ,854402 ,116652211 ,90116 ,244247 ,180698656 ,153173 ,2641961 ,87934112 ,42252 ,98711 ,565299063 ,4198 ,37411 ,8018731 ,1280 ,2074 ,651028 ,11028 ,29085 ,9112277 ,9502 ,10788 ,266124706 ,6990 ,11648 ,59998460 ,7066 ,87326 ,140205750 ,21006 ,53635 ,35332967 ,13176 ,44257 ,95920854 ,11271 ,83327 ,299476657 ,14202 ,310939 ,201373948 
,　　子宮の悪性新生物,90767 ,193876 ,90767 ,1244618 ,599486937 ,81475 ,117622 ,12756571 ,38281 ,51906 ,16009099 ,1253 ,3349 ,6418347 ,62244 ,299138 ,50310735 ,16142 ,37656 ,41087088 ,30137 ,490597 ,9799223 ,7306 ,16870 ,23088855 ,682 ,8858 ,2162438 ,364 ,582 ,154415 ,8524 ,11156 ,2673163 ,3244 ,5613 ,99161161 ,1737 ,4592 ,20297982 ,1370 ,13235 ,35738863 ,49819 ,109884 ,23874567 ,5989 ,14814 ,41910028 ,6182 ,58691 ,214043849 ,6733 ,167494 ,109853501 
