平成２９年　社会医療診療行為別統計　平成２９年６月審査分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報告書Ⅰ　医科診療　第　７表　医科診療　件数・診療実日数・実施件数・回数・点数，入院－入院外、傷病（中分類）、診療行為（大分類）別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：１）「件数」は、明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：２）「実施件数」は、当該診療行為が実施された明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：４）総数には、「療養担当手当等」、「合算薬剤料」、「補正点数」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：５）総数には、入院時食事療養等を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：６）総数には、「ⅩⅩ　傷病及び死亡の外因」、「ⅩⅩⅠ　健康状態に影響を及ぼす要因及び保健サービスの利用」、「ⅩⅩⅡ　特殊目的用コード」、「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,件数,診療実日数,総数,,,初   ・  再 診,,,医 学 管 理 等,,,在　宅　医　療,,,検　　　　　査,,,画　像　診　断,,,投　　　　　薬,,,注　　　　　射,,,リハビリテーション,,,精神科専門療法,,,処　　　　　置,,,手　　　　　術,,,麻　　　　　酔,,,放 射 線 治 療,,,病  理  診  断,,,入  院  料  等,,,診断群分類による包括評価等,,,入院時食事療養等(別掲),,
,,,,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,金額(円)
総数,総数,85576460 ,165593418 ,85576460 ,1511959670 ,229578521678 ,80663893 ,126254403 ,17162868827 ,39610433 ,55910398 ,10514273160 ,2463818 ,4268418 ,7642173117 ,32868086 ,201986963 ,21738751564 ,10002004 ,26461406 ,9419782911 ,68382633 ,945792666 ,19490491047 ,6058671 ,15992792 ,12900930077 ,2334843 ,37749005 ,8033938365 ,3479989 ,8122555 ,2725899337 ,13172873 ,48306939 ,13249526385 ,1254751 ,1653156 ,23365110080 ,1249593 ,2304070 ,3041867231 ,46928 ,401112 ,883259644 ,1203683 ,2468992 ,1001030891 ,2145353 ,24456644 ,42911868104 ,985150 ,9813637 ,35479042298 ,2102628 ,93120669 ,58402649917 
,Ⅰ　感染症及び寄生虫症,3295570 ,5639429 ,3295570 ,37291439 ,6267790164 ,3055479 ,4629492 ,842777696 ,1167396 ,1686778 ,335206437 ,41726 ,80471 ,168998879 ,1210196 ,7220612 ,823470807 ,191255 ,510539 ,198589308 ,2525795 ,19684749 ,939413137 ,233810 ,525760 ,319907950 ,21441 ,440062 ,92010495 ,10929 ,25738 ,8298462 ,781534 ,1669495 ,373896577 ,18244 ,28439 ,153265517 ,12087 ,26935 ,23745527 ,536 ,2865 ,4820504 ,32092 ,67445 ,28244285 ,52321 ,423119 ,819424902 ,29243 ,268398 ,1135077589 ,49488 ,1668976 ,1055670736 
,　　腸管感染症,983974 ,1500567 ,983974 ,9552189 ,1386270505 ,861235 ,1170674 ,298468072 ,455405 ,689632 ,164397551 ,6092 ,11596 ,21541177 ,259741 ,1637013 ,173410757 ,61186 ,154368 ,52641893 ,822016 ,5328408 ,119163219 ,143799 ,206974 ,62390549 ,3113 ,60403 ,12407437 ,4616 ,7516 ,2602485 ,47292 ,121545 ,33483825 ,2052 ,2601 ,15587534 ,1291 ,2661 ,1812227 ,70 ,600 ,1346380 ,4784 ,11121 ,6448370 ,19211 ,77713 ,166603545 ,13209 ,69291 ,253935520 ,18114 ,297992 ,191978207 
,　　結　　　核,26067 ,92025 ,26067 ,993847 ,195994645 ,22720 ,37445 ,4459256 ,10950 ,18291 ,3853477 ,1095 ,2138 ,5461918 ,17511 ,233154 ,26635564 ,16212 ,48648 ,13474382 ,16803 ,518303 ,10378436 ,2809 ,19928 ,15750630 ,1057 ,22894 ,4524274 ,172 ,1144 ,283140 ,2517 ,33515 ,7913673 ,222 ,485 ,3313335 ,114 ,193 ,490563 ,10 ,25 ,28740 ,1388 ,3301 ,1183214 ,2681 ,52917 ,93885601 ,94 ,1329 ,4264560 ,2515 ,147158 ,94613347 
,　　主として性的伝播様式をとる感染症,63112 ,103557 ,63112 ,664412 ,88491198 ,60114 ,94566 ,15922448 ,16535 ,20088 ,1505134 ,233 ,455 ,850420 ,40653 ,220534 ,27603283 ,1940 ,5328 ,2969671 ,42826 ,277636 ,12809648 ,3116 ,5047 ,3879432 ,105 ,1673 ,361580 ,293 ,1224 ,364570 ,13339 ,20964 ,6332387 ,1228 ,1308 ,2934277 ,243 ,273 ,409778 ,4 ,24 ,38300 ,4674 ,9609 ,2264920 ,494 ,4607 ,6650547 ,196 ,1072 ,3594775 ,467 ,14976 ,9500813 
,　　皮膚及び粘膜の病変を伴うウイルス疾患,856591 ,1496335 ,856591 ,6505968 ,835899606 ,828098 ,1407557 ,216497195 ,186294 ,256087 ,44180434 ,3709 ,6469 ,12050214 ,91008 ,497546 ,49087484 ,11713 ,29661 ,11801961 ,512291 ,3215940 ,112397620 ,17768 ,53129 ,38748396 ,2431 ,40103 ,8754036 ,1190 ,2207 ,762258 ,490205 ,915033 ,181184795 ,3467 ,3461 ,9631675 ,5974 ,15044 ,8040227 ,35 ,246 ,462230 ,3955 ,8016 ,2890801 ,4763 ,33140 ,65709435 ,2856 ,22294 ,73699600 ,4855 ,147788 ,93961025 
,　　ウイルス肝炎,207710 ,379804 ,207710 ,5227117 ,924143993 ,199590 ,343994 ,36699443 ,110420 ,161794 ,31510704 ,6358 ,11191 ,40574609 ,147090 ,1591211 ,209125282 ,30067 ,81516 ,54157646 ,137346 ,2848566 ,362507217 ,22627 ,93259 ,64123697 ,1268 ,19027 ,3787216 ,1101 ,2136 ,705025 ,5759 ,28670 ,26913264 ,1606 ,2193 ,11022195 ,839 ,1576 ,527618 ,77 ,503 ,1010826 ,3404 ,7474 ,4360701 ,2575 ,25320 ,47796615 ,779 ,8639 ,29321533 ,2517 ,93567 ,60578539 
,　　その他のウイルス疾患,116859 ,226970 ,116859 ,1674798 ,350685237 ,102928 ,170535 ,35295574 ,50008 ,81701 ,22298882 ,1015 ,1947 ,10845098 ,86322 ,526551 ,56543699 ,7194 ,18716 ,6332222 ,87969 ,782854 ,116850688 ,4696 ,10862 ,10950428 ,957 ,18942 ,4390540 ,308 ,639 ,189410 ,9211 ,30614 ,3474646 ,457 ,834 ,3798525 ,81 ,107 ,226848 ,21 ,53 ,68510 ,520 ,1095 ,602450 ,2321 ,18964 ,40506455 ,1214 ,10326 ,38310706 ,2276 ,74004 ,45622607 
,　　真　菌　症,737935 ,1129905 ,737935 ,7771901 ,965700383 ,706008 ,971172 ,153427917 ,225256 ,284070 ,30337982 ,17959 ,37190 ,52514056 ,347119 ,1209193 ,130343641 ,18046 ,52050 ,17457703 ,678866 ,4530080 ,147389065 ,17617 ,61055 ,62963077 ,4822 ,102949 ,21147142 ,2413 ,8658 ,2813089 ,183624 ,377757 ,69823265 ,3397 ,4430 ,20746170 ,2429 ,5019 ,2791038 ,79 ,611 ,973528 ,6804 ,13853 ,3798833 ,5097 ,93084 ,157055117 ,1314 ,20717 ,92019833 ,4926 ,304936 ,188162014 
