平成２６年,社会医療診療行為別調査,平成２６年６月審査分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第１４表　医科診療（入院－１総数）　件数・診療実日数・実施件数・回数・点数，一般医療－後期医療、傷病（中分類）、診療行為（大分類）別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：１）「件数」は、明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：２）「実施件数」は、当該診療行為が実施された明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：４）総数には、「療養担当手当等」、「合算薬剤料」、「補正点数」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：５）総数には、入院時食事療養等を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：６）総数には、「ⅩⅩ　傷病及び死亡の外因」、「ⅩⅩⅠ　健康状態に影響を及ぼす要因及び保健サービスの利用」、「ⅩⅩⅡ　特殊目的用コード」、「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,件数,診療実日数,総数,,,初   ・  再 診,,,医 学 管 理 等,,,在　宅　医　療,,,検　　　　　査,,,画　像　診　断,,,投　　　　　薬,,,注　　　　　射,,,リハビリテーション,,,精神科専門療法,,,処　　　　　置,,,手　　　　　術,,,麻　　　　　酔,,,放 射 線 治 療,,,病  理  診  断,,,入  院  料  等,,,診断群分類による包括評価等,,,入院時食事療養等(別掲：円),,
,,,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,点数,実施件数,回数,金額
総数,2189560,34259647,2189560,174025965,109057616033,272605,272860,107252819,1077015,2305201,797820500,47471,46349,176628317,936954,15740005,1690597508,717708,2692900,891571384,1204726,76141182,1457118698,558948,4470749,2282670566,659497,25877359,5731968239,252362,2792614,545468932,526089,7973084,2149535862,463958,813703,17761758294,285482,565712,2356496450,24049,167638,359514181,201237,305327,172454132,2053360,24854564,40658312272,903737,8995570,31916234498,2028435,92169304,58683272690
Ⅰ　感染症及び寄生虫症,55736,702455,55736,4241536,2374642717,13627,13639,5758979,28265,56015,17778269,1026,990,3493442,29003,636204,59744636,23684,92128,27186017,35161,1935878,53555057,19843,173517,91347470,12663,353782,74565445,1356,10033,2040455,13841,247425,63861756,5443,14581,119156443,1959,4670,15616742,366,1167,1064270,4574,7618,3574723,51530,445962,806417667,27511,247619,1029383262,49224,1678136,1086805702
　　腸管感染症,19935,148743,19935,909956,480675343,7733,7735,3558558,9313,15840,4782203,183,172,501481,8459,148530,14841100,7449,26395,8233671,13407,430714,7061168,6804,44228,16124521,1811,48037,9903606,106,575,135715,2752,36580,7644800,696,1323,13161025,322,587,1670046,23,88,187380,954,1690,882330,18769,86530,170840111,12078,60886,221130542,17621,301373,195745472
　　結　　　核,2921,60193,2921,553153,141602108,531,531,162951,1948,4949,1366520,41,35,152301,2536,96885,8781596,2395,13633,3331880,2482,301584,4292006,1367,17885,6113538,853,20027,3978266,129,1066,200920,1491,34838,5042430,172,410,3005725,51,106,587381,9,44,51650,428,1054,341130,2908,58699,99768786,101,1386,4423724,2775,167239,109381028
　　主として性的伝播様式をとる感染症,582,6480,582,38126,15193832,67,67,24784,236,408,146293,5,6,14942,313,5490,490425,162,627,213815,417,19623,392277,221,1194,507246,57,1651,350974,88,839,170770,162,1318,527966,158,178,961637,130,181,277635,2,4,440,121,177,83388,538,5328,7854776,189,1026,3176374,517,16995,11142568
　　皮膚及び粘膜の病変を伴うウイルス疾患,4989,54694,4989,322578,164350884,1227,1232,412766,2654,4982,1528730,69,63,242099,1799,35189,3014526,1621,4766,1463198,3593,165020,3463092,1455,11345,8089067,868,27800,6243672,57,444,100445,1052,15437,2714041,183,378,3993262,249,1289,868433,13,66,82990,192,301,133330,4619,33055,60529877,2830,21197,71470111,4802,143009,92134462
　　ウイルス肝炎,4275,52339,4275,345733,167104680,362,363,124440,2526,5242,1644640,88,76,265334,2837,53507,6183003,1753,6903,2178157,2927,187626,18386369,1860,11533,7775387,626,16290,3281182,128,787,201660,855,9328,3350228,499,968,6836120,87,143,402578,23,89,164160,767,1207,723450,4028,37078,64879901,1531,14508,50646749,4108,140285,92921242
　　その他のウイルス疾患,2098,27699,2098,162789,89807243,512,513,189700,876,1572,544068,27,25,84194,1138,23307,2302740,864,2867,894042,1270,71358,3200003,709,5643,4679198,450,14336,3363198,42,149,29240,482,14791,2079868,83,281,1838310,36,62,109842,9,49,33880,169,278,140990,1979,19101,39510115,942,8457,30806575,1939,70124,45375682
　　真　菌　症,5210,111670,5210,667141,308923873,332,332,114673,2335,5503,1912978,167,166,697320,3025,83410,6728892,2212,11538,3212629,3347,289065,7267924,1850,26811,16993551,2245,82917,17463405,456,4805,914085,2089,50034,9371683,689,1756,16174679,292,578,2456390,39,155,201252,512,863,390785,4829,88914,138321192,1261,20264,86698125,4659,290743,184284710
